STATE,TOTAL LANE MILES,population,LAND AREA (square miles)
Alabama,209560,5039877,50645.33
Alaska,35908,733391,570640.95
Arizona,146761,7276316,113594.08
Arkansas,204105,3011524,52035.48
California,396616,39237836,155779.22
Colorado,185827,5812069,103641.89
Connecticut,45899,3605944,4842.36
Delaware,14119,989948,1948.54
District of Columbia,3448,689545,61.05
Florida,276289,21781128,53624.76
Georgia,273086,10799566,57513.49
Hawaii,9804,1455271,6422.63
Idaho,109059,1839106,82643.12
Illinois,306748,12671469,55518.93
Indiana,203045,6805985,35826.11
Iowa,235669,3190369,55857.13
Kansas,286087,2937880,81758.72
Kentucky,167145,4505836,39486.34
Louisiana,134135,4657757,43203.9
Maine,46801,1362359,30842.92
Maryland,71244,6165129,9707.24
Massachusetts,77804,6984723,7800.06
Michigan,256295,10050811,56538.9
Minnesota,291814,5707390,79626.74
Mississippi,162160,2961279,46923.27
Missouri,278101,6168187,68741.52
Montana,150133,1084225,145545.8
Nebraska,194080,1961504,76824.17
Nevada,100941,3104614,109781.18
New Hampshire,33448,1377529,8952.65
New Jersey,85191,9267130,7354.22
New Mexico,150747,2117522,121298.15
New York,240827,19835913,47126.4
North Carolina,229902,10551162,48617.91
North Dakota,179369,779094,69000.8
Ohio,262465,11780017,40860.69
Oklahoma,239687,3959353,68594.92
Oregon,161989,4237256,95988.01
Pennsylvania,252038,12964056,44742.7
Rhode Island,12737,1097379,1033.81
South Carolina,166541,5190705,30060.7
South Dakota,166098,886667,75811
Tennessee,203899,6975218,41234.9
Texas,686281,29527941,261231.71
Utah,102452,3271616,82169.62
Vermont,29262,643077,9216.66
Virginia,164585,8642274,39490.09
Washington,168271,7738692,66455.52
West Virginia,80176,1793716,24038.21
Wisconsin,239526,5895908,54157.8
Wyoming,62575,576851,97093.14
U.S. Total,8790746,331700114,3531905.44
,,,
data sources,,,
road network data:,US Department of Transportation - Federal Highway Administration,2020,https://www.fhwa.dot.gov/policyinformation/statistics/2020/hm60.cfm
population:,Wikipedia,2021,https://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population
land area:,Wikipedia,2012,https://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_area
